locale	default	layout	variant	locales
00_00.utf8	0	us		en_US.utf8
be_BY.utf8	0	by,us		en_US.utf8
bg_BG.utf8	0	bg,us		en_US.utf8
bs_BA.utf8	0	ba,us		en_US.utf8
C	0	us		en_US.utf8
cs_CZ.utf8	0	cz,us		en_US.utf8
da_DK.utf8	0	dk,us		en_US.utf8
de_AT.utf8	1	de,us		de_DE.utf8 en_US.utf8
de_BE.utf8	1	be,de,fr,us		de_DE.utf8 fr_FR.utf8 en_US.utf8
de_CH.utf8	1	ch,us	fr	de_DE.utf8 en_US.utf8
de_DE.utf8	0	de,us		de_DE.utf8 en_US.utf8
de_LI.utf8	1	de,us		de_DE.utf8 en_US.utf8
de_LU.utf8	1	de,us		de_DE.utf8 en_US.utf8
el_CY.utf8	1	gr,us		en_US.utf8
el_GR.utf8	0	gr,us		en_US.utf8
en_AG.utf8	1	us		en_US.utf8
en_AU.utf8	1	us		en_US.utf8
en_BW.utf8	1	us		en_US.utf8
en_CA.utf8	1	us,ca		en_US.utf8
en_DK.utf8	1	dk,us		en_US.utf8
en_GB.utf8	1	gb,us		en_US.utf8
en_HK.utf8	1	us		en_US.utf8
en_IE.utf8	1	ie,gb,us		en_GB.utf8 en_US.utf8
en_IN.utf8	1	us		en_US.utf8
en_NG.utf8	1	us		en_US.utf8
en_NZ.utf8	1	us		en_US.utf8
en_PH.utf8	1	us		en_US.utf8
en_SG.utf8	1	us		en_US.utf8
en_US.utf8	0	us		en_US.utf8
en_ZA.utf8	1	us		en_US.utf8
en_ZW.utf8	1	us		en_US.utf8
es_AR.utf8	1	latam,es,us		es_ES.utf8 en_US.utf8
es_BO.utf8	1	latam,es,us		es_ES.utf8 en_US.utf8
es_CL.utf8	1	latam,es,us		es_ES.utf8 en_US.utf8
es_CO.utf8	1	latam,es,us		es_ES.utf8 en_US.utf8
es_CR.utf8	1	latam,es,us		es_ES.utf8 en_US.utf8
es_DO.utf8	1	latam,es,us		es_ES.utf8 en_US.utf8
es_EC.utf8	1	latam,es,us		es_ES.utf8 en_US.utf8
es_ES.utf8	0	es,us		en_US.utf8
es_GT.utf8	1	latam,es,us		es_ES.utf8 en_US.utf8
es_HN.utf8	1	latam,es,us		es_ES.utf8 en_US.utf8
es_MX.utf8	1	latam,es,us		es_ES.utf8 en_US.utf8
es_NI.utf8	1	latam,es,us		es_ES.utf8 en_US.utf8
es_PA.utf8	1	latam,es,us		es_ES.utf8 en_US.utf8
es_PE.utf8	1	latam,es,us		es_ES.utf8 en_US.utf8
es_PR.utf8	1	latam,es,us		es_ES.utf8 en_US.utf8
es_PY.utf8	1	latam,es,us		es_ES.utf8 en_US.utf8
es_SV.utf8	1	latam,es,us		es_ES.utf8 en_US.utf8
es_US.utf8	1	latam,es,us		es_ES.utf8 en_US.utf8
es_UY.utf8	1	latam,es,us		es_ES.utf8 en_US.utf8
es_VE.utf8	1	latam,es,us		es_ES.utf8 en_US.utf8
et_EE.utf8	0	et,us		en_US.utf8
fi_FI.utf8	0	fi,us		en_US.utf8
fr_BE.utf8	1	be,fr,us		fr_FR.utf8 en_US.utf8
fr_CA.utf8	1	ca,us		fr_FR.utf8 en_US.utf8
fr_CH.utf8	1	ch,us	fr	en_US.utf8
fr_FR.utf8	0	fr,us		en_US.utf8
fr_LU.utf8	1	fr,us		fr_FR.utf8 en_US.utf8
fr_NC.utf8	1	fr,us		fr_FR.utf8 en_US.utf8
ga_IE.utf8	0	ie,gb,us		en_IE.utf8 en_GB.utf8 en_US.utf8
he_IL.utf8	0	il,us		en_US.utf8
hr_HR.utf8	0	hr,us		en_US.utf8
hu_HU.utf8	0	hu,us		en_US.utf8
is_IS.utf8	0	is,us		en_US.utf8
it_CH.utf8	1	it,de,fr,us		it_IT.utf8 en_US.utf8
it_IT.utf8	0	it,us		en_US.utf8
ja_JP.utf8	0	jp,us		en_US.utf8
ko_KR.utf8	0	kr,us		en_US.utf8
nb_NO.utf8	0	no,us		nb_NO.utf8 en_US.utf8
nl_AW.utf8	1	us,nl		nl_NL.utf8 en_US.utf8
nl_BE.utf8	1	be,fr,us		nl_NL.utf8 en_US.utf8
nl_NL.utf8	0	us,nl		en_US.utf8
nn_NO.utf8	0	no,us		nn_NO.utf8 en_US.utf8
pl_PL.utf8	0	pl,us		en_US.utf8
pt_BR.utf8	0	br,us		pt_PT.utf8 en_US.utf8
pt_PT.utf8	1	pt,us		pt_BR.utf8 en_US.utf8
ro_RO.utf8	0	ro,us		en_US.utf8
ru_RU.utf8	0	ru,us		en_US.utf8
ru_UA.utf8	1	ru,us		en_US.utf8
se_FI.utf8	1	fi,no,se,us	fi	fi_FI.utf8 en_US.utf8
se_NO.utf8	1	no,fi,se,us	smi	nn_NO.utf8 en_US.utf8
se_SE.utf8	0	se,fi,no,us	smi	sv_SE.utf8 en_US.utf8
sk_SK.utf8	0	sk,us		en_US.utf8
sl_SI.utf8	0	si,us		en_US.utf8
sv_FI.utf8	1	se,fi,us	basic	en_US.utf8
sv_SE.utf8	0	se,us	basic	en_US.utf8
tr_CY.utf8	1	tr,us		en_US.utf8
tr_TR.utf8	0	tr,us		en_US.utf8
uk_UA.utf8	0	ua,ru,us		en_US.utf8
zh_CN.utf8	0	us		zh_TW en_US.utf8
zh_HK.utf8	1	us		zh_CH en_US.utf8
zh_SG.utf8	1	us		zh_CH en_US.utf8
zh_TW.utf8	1	us		zh_CN en_US.utf8
